name,kind,base_types,file,scope,loc,lifecycle,public_methods,FindObject,ResourcesLoad,NewGameObject,AddComponent,RuntimeInitialize,PlayerPrefs,ExecuteAlways,StopAllCoroutines,code_ref_count,code_ref_files,script_guid,serialized_ref_count,serialized_ref_files
RoomLightingController,class,MonoBehaviour,Assets/Scripts/Lighting/RoomLightingController.cs,Runtime,777,Awake | OnEnable | Update | OnValidate,CreateMissingSceneLightsFromPreset | ToggleLights,4,1,4,5,0,0,1,0,3,Assets/Editor/RoomLightingRegressionTests.cs:3,1aeafe6c29b04bb5a9e6d98f06298e45,1,Assets/Scenes/Gameplay.unity:1
RoomLightingPreset,class,ScriptableObject,Assets/Scripts/Lighting/RoomLightingPreset.cs,Runtime,44,,,0,0,0,0,0,0,0,0,9,Assets/Scripts/Lighting/RoomLightingController.cs:5 | Assets/Editor/RoomLightingRegressionTests.cs:3 | Assets/Scripts/Lighting/RoomLightingPreset.cs:1,6e26b37907904aac8d0f29cbf5a8401d,1,Assets/Resources/Lighting/RoomLightingPreset.asset:1
RoomLightDefinition,class,,Assets/Scripts/Lighting/RoomLightingPreset.cs,Runtime,44,,,0,0,0,0,0,0,0,0,11,Assets/Scripts/Lighting/RoomLightingController.cs:4 | Assets/Scripts/Lighting/RoomLightingPreset.cs:3 | Assets/Editor/RoomEnvironmentAuthoringWindow.cs:2 | Assets/Editor/FlameBloomSeparationTools.cs:1 | Assets/Scripts/Lighting/RoomLightOverlay.cs:1,6e26b37907904aac8d0f29cbf5a8401d,1,Assets/Resources/Lighting/RoomLightingPreset.asset:1
RoomLightAnimationStyle,enum,,Assets/Scripts/Lighting/RoomLightingPreset.cs,Runtime,44,,,0,0,0,0,0,0,0,0,31,Assets/Editor/RoomEnvironmentAuthoringWindow.cs:16 | Assets/Scripts/Lighting/RoomLightOverlay.cs:10 | Assets/Editor/FlameBloomSeparationTools.cs:3 | Assets/Scripts/Lighting/RoomLightingPreset.cs:2,6e26b37907904aac8d0f29cbf5a8401d,1,Assets/Resources/Lighting/RoomLightingPreset.asset:1
MainMenuController,class,MonoBehaviour,Assets/Scripts/MainMenuController.cs,Runtime,1516,Awake | OnEnable | Start | Update | OnDisable | Reset,NewGame | ContinueGame | ExitGame | Refresh,3,0,15,1,0,0,0,0,4,Assets/Editor/NavigationRegressionTests.cs:2 | Assets/Editor/Chapter2RegressionTests.cs:1 | Assets/Scripts/MainMenuController.cs:1,edb659fd3a16f84f796f1355971d6893,1,Assets/Scenes/MainMenu.unity:1
DoorButton,class,MonoBehaviour,Assets/Scripts/Navigation/DoorButton.cs,Runtime,190,Awake | OnDestroy | Reset,RefreshInferredNames,1,0,0,0,0,0,0,0,16,Assets/Editor/NavigationEditorTools.cs:8 | Assets/Scripts/Navigation/RoomNavigationManager.cs:6 | Assets/Scripts/Navigation/DoorButton.cs:1 | Assets/Scripts/Navigation/RoomNavigationBootstrap.cs:1,526d59741832df7afadeab75a481cf82,0,
DoorCameraSequence,class,ScriptableObject,Assets/Scripts/Navigation/DoorCameraSequence.cs,Runtime,92,,TryGetNextRoom | ContainsRoom,0,0,0,0,0,0,0,0,10,Assets/Scripts/Navigation/RoomNavigationManager.cs:6 | Assets/Scripts/Navigation/DoorPromptSequenceController.cs:3 | Assets/Scripts/Navigation/DoorCameraSequence.cs:1,1a9d9d0c51c54b0f92dd15e3a7a6c4e1,1,Assets/Resources/Navigation/DoorCameraSequence.asset:1
RoomDefinition,class,,Assets/Scripts/Navigation/DoorDataParser.cs,Runtime,173,,AddDoor | Parse,0,0,0,0,0,0,0,0,14,Assets/Scripts/Navigation/RoomNavigationManager.cs:8 | Assets/Scripts/Navigation/DoorDataParser.cs:5 | Assets/Editor/NavigationEditorTools.cs:1,e87c131c2051e9f8b8649cf00313f37c,0,
DoorRoute,class,,Assets/Scripts/Navigation/DoorDataParser.cs,Runtime,173,,AddDoor | Parse,0,0,0,0,0,0,0,0,18,Assets/Scripts/Navigation/DoorDataParser.cs:10 | Assets/Scripts/Navigation/RoomNavigationManager.cs:6 | Assets/Editor/NavigationEditorTools.cs:2,e87c131c2051e9f8b8649cf00313f37c,0,
DoorDataParseResult,class,,Assets/Scripts/Navigation/DoorDataParser.cs,Runtime,173,,AddDoor | Parse,0,0,0,0,0,0,0,0,8,Assets/Scripts/Navigation/DoorDataParser.cs:4 | Assets/Editor/NavigationEditorTools.cs:3 | Assets/Scripts/Navigation/RoomNavigationManager.cs:1,e87c131c2051e9f8b8649cf00313f37c,0,
DoorDataParser,class,,Assets/Scripts/Navigation/DoorDataParser.cs,Runtime,173,,AddDoor | Parse,0,0,0,0,0,0,0,0,3,Assets/Editor/NavigationEditorTools.cs:2 | Assets/Scripts/Navigation/RoomNavigationManager.cs:1,e87c131c2051e9f8b8649cf00313f37c,0,
DoorPromptSequenceController,class,MonoBehaviour,Assets/Scripts/Navigation/DoorPromptSequenceController.cs,Runtime,274,Awake | OnEnable | Start | Update | OnDisable,,3,1,1,0,0,0,0,0,4,Assets/Scripts/Navigation/RoomNavigationBootstrap.cs:3 | Assets/Editor/NavigationRegressionTests.cs:1,3f9bb60e65b04160aa752c2b3fcfdb4d,0,
DoorTriggerNavigation,class,MonoBehaviour | IPointerClickHandler | IPointerEnterHandler | IPointerExitHandler,Assets/Scripts/Navigation/DoorTriggerNavigation.cs,Runtime,1401,Awake | OnEnable | Update | OnDisable | OnValidate | Reset,OnPointerEnter | OnPointerExit | OnPointerClick | IsPointerOverActiveTrigger | ActivateDoor | TryFindArrivalDestination | RefreshInferredSourceRoom,4,2,0,0,1,0,0,0,75,Assets/Scripts/Navigation/DoorTriggerNavigation.cs:19 | Assets/Scripts/Navigation/RoomNavigationManager.cs:16 | Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2GuestSearchController.cs:14 | Assets/Editor/NavigationEditorTools.cs:7 | Assets/Scripts/Navigation/DoorPromptSequenceController.cs:7 | Assets/_Chateau/Scripts/Chapter/Chapter01/Chapter1ArrivalController.cs:4 | Assets/Scripts/PointClickPlayerMovement.cs:3 | Assets/Editor/Chapter2RegressionTests.cs:2 | Assets/Editor/NavigationRegressionTests.cs:2 | Assets/Scripts/Navigation/RoomNavigationBootstrap.cs:1,7e419b0f8f26d4f2d8d03e567fef4c52,58,Assets/Scenes/Gameplay.unity:45 | Assets/Scenes/MainMenu.unity:9 | Assets/Prefabs/Room_Drawing_Room.prefab:2 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:2
ObjectMovementBlocker2D,class,MonoBehaviour,Assets/Scripts/Navigation/ObjectMovementBlocker2D.cs,Runtime,179,OnEnable | LateUpdate | OnValidate | Reset,Configure | ApplySourceSortingNow,0,0,0,0,0,0,1,0,19,Assets/Editor/ObjectCollisionBoxAuthoringWindow.cs:11 | Assets/Editor/ObjectCollisionBoxRegressionTests.cs:7 | Assets/Scripts/PointClickPlayerMovement.cs:1,b95469e02af64fee8b29689edb9b583a,49,Assets/Scenes/Gameplay.unity:49
