script,guid,reference_count,referencing_assets
Assets/_Chateau/Runtime/Gameplay/ChapterFeatureBase.cs,9aa9de1178a5565dab00d3b48c7c63bf,0,
Assets/_Chateau/Runtime/Gameplay/InteractionTargetBase.cs,36ea06f2199b505aa3cb6703f0437baa,0,
Assets/_Chateau/Runtime/Gameplay/RoomElementBase.cs,78ac54b7f625559f80da0a1400f5a839,0,
Assets/_Chateau/Runtime/Gameplay/StoryBeatBase.cs,5c9ff8dd0f9559499a5298ed5c5a3f65,0,
Assets/_Chateau/Runtime/Gameplay/UIScreenBase.cs,0513f14c5965539f9121b3f3a60f4db7,0,
Assets/_Chateau/Runtime/UI/GameTimeHUD.cs,12bd9a3afa94b05b1e9ce52146c9c7f4,1,Assets/Scenes/Gameplay.unity:1
Assets/_Chateau/Runtime/World/Navigation/INavigationService.cs,61164ddf7e6e41c5a6de202f20c922c8,0,
Assets/_Chateau/Runtime/World/Rooms/Passages/Passage.cs,518dad8adf634786a103bf4e76aa0881,2,Assets/Scenes/Gameplay.unity:2
Assets/_Chateau/Runtime/World/Rooms/Passages/PassageAnchorData.cs,778264efc321425b978db070c751c200,0,
Assets/_Chateau/Runtime/World/Rooms/Passages/PassageDefinition.cs,ca421b4be57a4e08aad75608f76ce6e4,2,Assets/_Chateau/Data/World/Passages/Passage_DrawingRoom_GEH.asset:1 | Assets/_Chateau/Data/World/Passages/Passage_GEH_DrawingRoom.asset:1
Assets/_Chateau/Runtime/World/Rooms/Passages/PassageKind.cs,e28408796af44c5ab67e3ffc2cc2f016,0,
Assets/_Chateau/Runtime/World/Rooms/Props/SetPieces/RoomDepthResolver.cs,9d3e22f8c5a34b79b0e1f2a3c4d5e608,0,
Assets/_Chateau/Runtime/World/Rooms/Props/SetPieces/SetPieceView.cs,5e7a11c7d4b24c68a1f9e2d3c4b5a607,9,Assets/Scenes/Gameplay.unity:3 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:3 | Assets/Prefabs/Room_Drawing_Room.prefab:3
Assets/_Chateau/Runtime/World/Rooms/RoomDefinition.cs,fbe9ca0ca8d34522a37de58376ddbf8c,2,Assets/_Chateau/Data/World/Rooms/Room_GrandEntranceHall.asset:1 | Assets/_Chateau/Data/World/Rooms/Room_DrawingRoom.asset:1
Assets/_Chateau/Runtime/World/Rooms/RoomView.cs,ccd2f3bd803e45aa8a1174cc881d6dc0,2,Assets/Scenes/Gameplay.unity:2
Assets/_Chateau/Scripts/Chapter/Chapter01/Chapter1ArrivalController.cs,b5ee7e3d0f5a428cb5e5a6617725817f,1,Assets/Scenes/Gameplay.unity:1
Assets/_Chateau/Scripts/Chapter/Chapter01/Chapter1CoatPickup.cs,a59ddc6dded9613c01de27aeab93714a,0,
Assets/_Chateau/Scripts/Chapter/Chapter01/Chapter1InteractionHUD.cs,a7a7a747ac7ae2fb48c9d60608ca3dc9,1,Assets/Scenes/Gameplay.unity:1
Assets/_Chateau/Scripts/Chapter/Chapter01/Chapter1SceneAction.cs,7a33ae09185ce66224eb1fc576eef96d,2,Assets/Scenes/Gameplay.unity:2
Assets/_Chateau/Scripts/Chapter/Chapter01/GuestArrivalConfig.cs,870849ad4e4741fb8aa0365c5fe80b83,0,
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2Controller.cs,d033cee2bc03c0ce4a5ca7f25996fb46,1,Assets/Scenes/Gameplay.unity:1
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2GuestFindAction.cs,b8faabacef795789f93845fa56d3cd77,0,
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2GuestPanicController.cs,aa4143ddf6de4b6b9b8c1edc0f9e2a31,1,Assets/Scenes/Gameplay.unity:1
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2GuestSearchController.cs,5daaf625b50c2b1048154975a147950a,1,Assets/Scenes/Gameplay.unity:1
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2InteractionHUD.cs,b289ee33ba1c90aaab63dd6ba9f56d9d,1,Assets/Scenes/Gameplay.unity:1
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2MonsterStingerController.cs,684198ee76c12a66cb4335c3ab64b1bc,1,Assets/Scenes/Gameplay.unity:1
Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2PanicAnimationLibrary.cs,d4c6f909e43b4c3680a0b52c6d0f8e01,1,Assets/Resources/Chapter2/PanicAnimationLibrary.asset:1
